StressLevels,SelfEsteem,SocialAnxiety,Mindfulness,CognitiveFlexibility,DepressiveSymptoms,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
19,13,26,8,21,28,21,19,22,20,26
7,17,34,12,13,33,15,22,17,20,31
16,9,28,9,13,22,22,15,20,17,29
5,7,31,12,10,34,19,14,16,21,31
16,22,26,9,19,28,23,20,20,22,25
21,20,24,8,21,29,22,18,22,22,27
23,24,27,7,19,30,20,17,23,20,28
11,16,28,12,11,32,18,21,18,22,32
18,14,29,7,20,29,21,20,23,21,27
17,9,27,10,16,28,19,19,21,21,30
10,12,26,6,17,24,23,16,19,19,27
4,6,29,13,8,32,20,14,17,23,30
24,24,29,7,20,32,22,22,22,19,27
9,11,32,13,9,33,19,20,18,22,28
16,17,23,12,17,26,23,15,21,19,27
19,20,27,7,17,28,19,22,22,20,29
4,6,32,13,9,35,17,14,19,24,32
21,20,25,7,18,27,21,16,22,19,28
15,12,24,11,18,24,23,19,20,21,28
8,9,30,14,13,32,18,20,20,23,32
20,19,28,6,21,28,23,19,23,19,29
10,11,31,9,9,31,16,18,20,21,29
17,15,28,7,20,29,22,21,21,18,30
3,6,31,12,9,33,18,17,20,23,32
16,15,25,8,17,25,19,20,18,23,28
18,21,27,6,20,28,18,18,21,20,28
11,11,30,12,15,27,20,21,20,22,30
21,19,28,7,19,28,22,19,23,21,27
17,15,27,7,18,28,20,19,19,21,29
5,8,30,12,11,31,19,17,21,21,29
