Gender,Latinx,Race,Nativity,ClassStanding,CollegeStudent,Commute,StudyHours,SleepHours,Caffeine,Exercise,SocialMedia,Pets,Stress_Total,LifeSat_Total,Grit_Total,IntLocus_Total,ExtLocus_Total
0,1,6,3,3,1,2,1,6,2,2,2,2,6,26,18,6,2
0,0,2,4,4,1,2,2,6,1,2,2,1,11,19,26,8,6
1,1,,3,3,2,2,1,8,1,2,2,2,11,24,26,9,2
1,0,1,4,3,1,2,3,5,2,2,2,1,11,21,32,9,5
1,1,6,3,3,1,2,1,5,2,1,2,2,11,20,26,7,3
0,1,2,4,3,1,2,2,5,1,2,2,2,14,18,19,6,6
1,1,1,2,3,2,2,3,5,2,2,2,2,11,10,21,8,6
1,0,1,4,4,1,2,1,5,2,2,2,2,10,24,29,10,3
1,1,1,3,3,1,2,2,7,1,2,2,2,13,20,30,8,4
1,1,,3,4,2,2,2,8,2,2,2,1,7,25,27,7,3
1,1,1,4,4,2,2,2,6,2,2,2,2,6,33,31,10,3
1,1,1,4,3,1,2,4,7,2,2,2,2,8,25,28,9,4
1,0,3,1,4,2,2,3,5,2,2,2,2,16,12,30,10,8
1,1,,3,3,2,2,3,10,2,2,1,2,10,22,22,7,4
1,1,,3,3,2,2,1,5,1,2,2,1,9,21,23,7,6
1,1,1,2,3,2,2,2,5,2,2,2,2,13,12,27,8,4
1,1,1,3,4,1,2,2,7,1,2,2,2,9,22,26,8,5
1,1,6,2,3,1,2,2,8,2,1,2,2,10,24,28,7,5
1,1,6,3,3,2,2,1,5,2,2,2,1,13,15,26,8,4
0,1,4,4,3,2,2,2,6,2,2,2,2,9,11,33,8,4
1,1,6,3,4,1,2,3,6,1,1,2,2,13,26,31,9,5
0,1,6,3,3,2,2,2,6,1,2,2,2,6,17,15,9,2
1,1,1,4,3,1,2,1,7,1,2,2,2,8,22,29,7,2
1,1,6,3,4,2,2,2,6,2,2,2,2,10,20,27,6,4
2,1,1,4,4,1,2,2,6,2,1,1,2,11,17,24,2,5
